"Notes"	"County"	"County Code"	"Year"	"Year Code"	Avg Daily Max Air Temperature (F)
	"Autauga County, AL"	"01001"	"2006"	"2006"	75.82
	"Autauga County, AL"	"01001"	"2007"	"2007"	77.52
	"Autauga County, AL"	"01001"	"2008"	"2008"	74.24
	"Autauga County, AL"	"01001"	"2009"	"2009"	75.72
	"Autauga County, AL"	"01001"	"2010"	"2010"	73.93
	"Autauga County, AL"	"01001"	"2011"	"2011"	77.70
"Total"	"Autauga County, AL"	"01001"			75.82
	"Baldwin County, AL"	"01003"	"2006"	"2006"	77.74
	"Baldwin County, AL"	"01003"	"2007"	"2007"	77.56
	"Baldwin County, AL"	"01003"	"2008"	"2008"	75.40
	"Baldwin County, AL"	"01003"	"2009"	"2009"	76.63
	"Baldwin County, AL"	"01003"	"2010"	"2010"	74.87
	"Baldwin County, AL"	"01003"	"2011"	"2011"	78.16
"Total"	"Baldwin County, AL"	"01003"			76.73
	"Barbour County, AL"	"01005"	"2006"	"2006"	76.90
	"Barbour County, AL"	"01005"	"2007"	"2007"	77.71
	"Barbour County, AL"	"01005"	"2008"	"2008"	74.88
	"Barbour County, AL"	"01005"	"2009"	"2009"	76.55
	"Barbour County, AL"	"01005"	"2010"	"2010"	74.98
	"Barbour County, AL"	"01005"	"2011"	"2011"	78.97
"Total"	"Barbour County, AL"	"01005"			76.66
	"Bibb County, AL"	"01007"	"2006"	"2006"	75.12
	"Bibb County, AL"	"01007"	"2007"	"2007"	77.19
	"Bibb County, AL"	"01007"	"2008"	"2008"	73.89
	"Bibb County, AL"	"01007"	"2009"	"2009"	75.41
	"Bibb County, AL"	"01007"	"2010"	"2010"	73.02
	"Bibb County, AL"	"01007"	"2011"	"2011"	76.76
"Total"	"Bibb County, AL"	"01007"			75.23
	"Blount County, AL"	"01009"	"2006"	"2006"	72.66
	"Blount County, AL"	"01009"	"2007"	"2007"	75.01
	"Blount County, AL"	"01009"	"2008"	"2008"	71.73
	"Blount County, AL"	"01009"	"2009"	"2009"	72.71
	"Blount County, AL"	"01009"	"2010"	"2010"	70.57
	"Blount County, AL"	"01009"	"2011"	"2011"	73.79
"Total"	"Blount County, AL"	"01009"			72.75
	"Bullock County, AL"	"01011"	"2006"	"2006"	76.41
	"Bullock County, AL"	"01011"	"2007"	"2007"	77.59
	"Bullock County, AL"	"01011"	"2008"	"2008"	74.60
	"Bullock County, AL"	"01011"	"2009"	"2009"	76.08
	"Bullock County, AL"	"01011"	"2010"	"2010"	74.45
	"Bullock County, AL"	"01011"	"2011"	"2011"	78.34
"Total"	"Bullock County, AL"	"01011"			76.24
	"Butler County, AL"	"01013"	"2006"	"2006"	76.80
	"Butler County, AL"	"01013"	"2007"	"2007"	77.69
	"Butler County, AL"	"01013"	"2008"	"2008"	74.50
	"Butler County, AL"	"01013"	"2009"	"2009"	76.29
	"Butler County, AL"	"01013"	"2010"	"2010"	74.65
	"Butler County, AL"	"01013"	"2011"	"2011"	78.78
"Total"	"Butler County, AL"	"01013"			76.45
	"Calhoun County, AL"	"01015"	"2006"	"2006"	73.11
	"Calhoun County, AL"	"01015"	"2007"	"2007"	75.64
