Year,State,County,Population,Deaths,Death Rate per 100k
2006,AL,Baldwin,168121,15,8.92214536
2006,AL,Chilton,42318,13,30.71978827
2006,AL,Etowah,103528,10,9.659222626
2006,AL,Jefferson,655893,88,13.416822561
2006,AL,Mobile,402916,37,9.183055525
2006,AL,Montgomery,227291,13,5.719540149
2006,AL,Morgan,115491,15,12.988025041
2006,AL,St. Clair,75948,10,13.166903671
2006,AL,Shelby,178841,22,12.301429762
2006,AL,Talladega,81991,10,12.196460587
2006,AL,Tuscaloosa,181383,26,14.334309169
2006,AL,Walker,68234,14,20.517630507
2006,AZ,Cochise,127241,17,13.360473432
2006,AZ,Maricopa,3642884,517,14.192052231
2006,AZ,Mohave,196168,17,8.666041352
2006,AZ,Navajo,105624,13,12.307808831
2006,AZ,Pima,940930,176,18.704898345
2006,AZ,Pinal,271328,23,8.476825097
2006,AZ,Yavapai,204082,22,10.779980596
2006,AZ,Yuma,183848,10,5.439275924
2006,AR,Benton,195569,16,8.18125572
2006,AR,Boone,36056,11,30.508098513
2006,AR,Craighead,89725,11,12.259682363
2006,AR,Faulkner,102969,11,10.68282687
2006,AR,Garland,94077,14,14.881426916
2006,AR,Pulaski,371647,35,9.417538686
2006,AR,Saline,96661,17,17.587237873
2006,AR,Sebastian,121492,15,12.34649195
2006,AR,Washington,190314,17,8.932606114
2006,CA,Alameda,1444484,165,11.422764115
2006,CA,Amador,38353,10,26.073579642
2006,CA,Butte,216824,57,26.288602738
2006,CA,Contra Costa,1000834,61,6.094916839
2006,CA,El Dorado,176773,28,15.839523004
2006,CA,Fresno,883862,102,11.540263073
2006,CA,Humboldt,132093,40,30.281695472
2006,CA,Imperial,160505,16,9.968536806
2006,CA,Kern,784511,114,14.531345003
2006,CA,Lake,64202,17,26.47892589
2006,CA,Los Angeles,9737955,727,7.465633185
2006,CA,Madera,143622,12,8.355265906
2006,CA,Marin,244580,21,8.586147682
2006,CA,Mendocino,87345,13,14.883507928
2006,CA,Merced,245338,12,4.891211308
2006,CA,Monterey,401831,43,10.701016099
2006,CA,Nevada,97549,12,12.30151001
2006,CA,Orange,2932261,209,7.127605626
2006,CA,Placer,321934,40,12.424906969
2006,CA,Riverside,2012370,174,8.646521266
2006,CA,Sacramento,1369563,208,15.187326176
2006,CA,San Bernardino,1974140,176,8.915274499
2006,CA,San Diego,2947289,276,9.364538055
2006,CA,San Francisco,768650,177,23.027385676
2006,CA,San Joaquin,662812,91,13.729383294
2006,CA,San Luis Obispo,260498,28,10.748642984
2006,CA,San Mateo,690176,45,6.520076039
2006,CA,Santa Barbara,408085,34,8.331597584
2006,CA,Santa Clara,1691159,88,5.203532016
2006,CA,Santa Cruz,251616,37,14.704947221
2006,CA,Shasta,176166,36,20.435271278
2006,CA,Solano,408402,31,7.590560281
2006,CA,Sonoma,465188,48,10.318408901
2006,CA,Stanislaus,504651,85,16.843323406
2006,CA,Tulare,414921,50,12.050486719
2006,CA,Tuolumne,56680,13,22.935779817
2006,CA,Ventura,798183,82,10.273333308
2006,CO,Adams,406575,58,14.265510668
2006,CO,Arapahoe,531619,63,11.850592247
2006,CO,Boulder,284243,32,11.257972932
2006,CO,Denver,556895,135,24.241553614
2006,CO,Douglas,256136,23,8.979604585
2006,CO,El Paso,580251,63,10.857370345
2006,CO,Jefferson,521662,31,5.942545173
2006,CO,Larimer,280713,26,9.262128936
2006,CO,Pueblo,152026,31,20.391248865
2006,CO,Weld,230703,11,4.768035093
2006,CT,Fairfield,896254,96,10.711249266
2006,CT,Hartford,881298,111,12.595058652
2006,CT,Litchfield,189682,18,9.489566749
2006,CT,Middlesex,163473,15,9.175827201
2006,CT,New Haven,850207,117,13.761354588
2006,CT,New London,270814,32,11.816228112
2006,CT,Windham,116778,15,12.844885167
2006,DE,Kent,149704,11,7.347833057
2006,DE,New Castle,527174,52,9.863915899
2006,DE,Sussex,182390,14,7.675859422
2006,DC,District of Columbia,570681,122,21.377967726
2006,FL,Alachua,239506,16,6.680417192
2006,FL,Bay,165644,34,20.525947212
2006,FL,Brevard,535138,100,18.686768647
2006,FL,Broward,1739348,249,14.315709105
2006,FL,Charlotte,157099,21,13.367367074
2006,FL,Citrus,137826,29,21.041022739
2006,FL,Clay,178339,18,10.093137227
2006,FL,Collier,312621,46,14.714302622
2006,FL,Duval,842098,140,16.625143392
2006,FL,Escambia,300395,52,17.310541121
2006,FL,Hernando,164398,27,16.423557464
2006,FL,Hillsborough,1171826,171,14.592610166
2006,FL,Indian River,131463,26,19.777427869
2006,FL,Lake,281329,17,6.042747104
2006,FL,Lee,582678,87,14.931059693
2006,FL,Leon,263076,12,4.561419514
2006,FL,Manatee,313771,48,15.297780866
2006,FL,Marion,316310,60,18.968733205
2006,FL,Martin,141802,18,12.693756082
2006,FL,Miami-Dade,2405911,136,5.652744428
2006,FL,Monroe,73793,20,27.102841733
2006,FL,Nassau,67823,10,14.744260796
2006,FL,Okaloosa,184071,33,17.927864791
2006,FL,Orange,1083429,99,9.137654613
2006,FL,Osceola,242081,19,7.848612654
2006,FL,Palm Beach,1284489,201,15.648246112
2006,FL,Pasco,439529,107,24.344241222
2006,FL,Pinellas,924182,259,28.024782997
2006,FL,Polk,568324,61,10.733314095
2006,FL,St. Johns,168480,18,10.683760684
2006,FL,St. Lucie,255251,29,11.361365871
