BUYER_STATE,BUYER_COUNTY,YEAR,QUANTITY,DOSAGE_UNIT
AK,ANCHORAGE,2006,11.0,2300.0
AK,ANCHORAGE,2007,1.0,500.0
AK,ANCHORAGE,2008,2.0,200.0
AK,ANCHORAGE,2009,1.0,100.0
AK,FAIRBANKS NORTH STAR,2006,9.0,900.0
AK,FAIRBANKS NORTH STAR,2007,7.0,3500.0
AK,JUNEAU,2011,4.0,1600.0
AK,JUNEAU,2012,3.0,700.0
AK,KENAI PENINSULA,2012,3.0,1500.0
AK,KETCHIKAN GATEWAY,2007,3.0,1500.0
AK,KETCHIKAN GATEWAY,2012,2.0,200.0
AK,MATANUSKA SUSITNA,2011,6.0,3000.0
AL,AUTAUGA,2006,47.0,9500.0
AL,AUTAUGA,2007,35.0,6300.0
AL,AUTAUGA,2008,40.0,13600.0
AL,AUTAUGA,2009,49.0,8100.0
AL,AUTAUGA,2010,103.0,22300.0
AL,AUTAUGA,2011,76.0,16400.0
AL,AUTAUGA,2012,109.0,21000.0
AL,BALDWIN,2006,257.0,43890.0
AL,BALDWIN,2007,325.0,65420.0
AL,BALDWIN,2008,335.0,68180.0
AL,BALDWIN,2009,250.0,79500.0
AL,BALDWIN,2010,463.0,98700.0
AL,BALDWIN,2011,394.0,95100.0
AL,BALDWIN,2012,254.0,60900.0
AL,BARBOUR,2006,10.0,1400.0
AL,BARBOUR,2007,8.0,2000.0
AL,BARBOUR,2008,3.0,1100.0
AL,BARBOUR,2009,5.0,1300.0
AL,BARBOUR,2010,11.0,2300.0
AL,BARBOUR,2011,8.0,3200.0
AL,BARBOUR,2012,16.0,2400.0
AL,BIBB,2006,19.0,3500.0
AL,BIBB,2007,25.0,3300.0
AL,BIBB,2008,15.0,1900.0
AL,BIBB,2009,8.0,3600.0
AL,BIBB,2010,8.0,3200.0
AL,BIBB,2011,21.0,3700.0
AL,BIBB,2012,28.0,4400.0
AL,BLOUNT,2006,17.0,5000.0
AL,BLOUNT,2007,39.0,11800.0
AL,BLOUNT,2008,29.0,14100.0
AL,BLOUNT,2009,20.0,5600.0
AL,BLOUNT,2010,27.0,8300.0
AL,BLOUNT,2011,61.0,16900.0
AL,BLOUNT,2012,63.0,18300.0
AL,BULLOCK,2006,4.0,400.0
AL,BULLOCK,2007,23.0,3500.0
AL,BULLOCK,2008,3.0,700.0
AL,BULLOCK,2009,19.0,6700.0
AL,BULLOCK,2010,3.0,1030.0
AL,BULLOCK,2011,15.0,6800.0
AL,BULLOCK,2012,31.0,4300.0
AL,BUTLER,2006,52.0,8000.0
AL,BUTLER,2007,58.0,9000.0
AL,BUTLER,2008,81.0,9300.0
AL,BUTLER,2009,66.0,8600.0
AL,BUTLER,2010,160.0,20000.0
AL,BUTLER,2011,75.0,9100.0
AL,BUTLER,2012,116.0,15200.0
AL,CALHOUN,2006,168.0,25200.0
AL,CALHOUN,2007,145.0,26100.0
AL,CALHOUN,2008,141.0,23700.0
AL,CALHOUN,2009,127.0,23100.0
AL,CALHOUN,2010,185.0,28500.0
AL,CALHOUN,2011,182.0,27800.0
AL,CALHOUN,2012,76.0,11600.0
AL,CHAMBERS,2006,8.0,3600.0
AL,CHAMBERS,2007,14.0,3000.0
AL,CHAMBERS,2008,28.0,3600.0
AL,CHAMBERS,2009,61.0,6500.0
AL,CHAMBERS,2010,36.0,7200.0
AL,CHAMBERS,2011,26.0,4200.0
AL,CHAMBERS,2012,42.0,5400.0
AL,CHEROKEE,2006,65.0,11820.0
AL,CHEROKEE,2007,105.0,15300.0
AL,CHEROKEE,2008,44.0,7600.0
AL,CHEROKEE,2009,44.0,10000.0
AL,CHEROKEE,2010,55.0,13500.0
AL,CHEROKEE,2011,42.0,11800.0
AL,CHEROKEE,2012,67.0,10800.0
AL,CHILTON,2006,62.0,15000.0
AL,CHILTON,2007,56.0,11200.0
AL,CHILTON,2008,79.0,17500.0
AL,CHILTON,2009,23.0,5500.0
AL,CHILTON,2010,89.0,18500.0
AL,CHILTON,2011,195.0,31500.0
AL,CHILTON,2012,127.0,23900.0
AL,CHOCTAW,2006,2.0,200.0
AL,CHOCTAW,2007,4.0,400.0
AL,CHOCTAW,2008,3.0,300.0
AL,CHOCTAW,2009,2.0,1000.0
AL,CLARKE,2006,8.0,1530.0
AL,CLARKE,2007,33.0,10330.0
AL,CLARKE,2008,15.0,8500.0
AL,CLARKE,2009,22.0,5400.0
AL,CLARKE,2010,16.0,2400.0
AL,CLARKE,2011,17.0,2900.0
AL,CLARKE,2012,28.0,2800.0
AL,CLAY,2006,6.0,3700.0
AL,CLAY,2007,1.0,1000.0
AL,CLAY,2008,8.0,2400.0
AL,CLAY,2009,11.0,7100.0
AL,CLAY,2010,6.0,4100.0
AL,CLAY,2011,14.0,3200.0
AL,CLAY,2012,4.0,400.0
AL,CLEBURNE,2006,6.0,1400.0
AL,CLEBURNE,2007,16.0,4400.0
AL,CLEBURNE,2008,17.0,5700.0
AL,CLEBURNE,2009,11.0,3100.0
AL,CLEBURNE,2010,18.0,5000.0
AL,CLEBURNE,2011,18.0,3800.0
AL,CLEBURNE,2012,22.0,7900.0
AL,COFFEE,2006,57.0,12900.0
AL,COFFEE,2007,62.0,19400.0
AL,COFFEE,2008,103.0,20800.0
AL,COFFEE,2009,65.0,21300.0
AL,COFFEE,2010,62.0,18600.0
AL,COFFEE,2011,129.0,44130.0
AL,COFFEE,2012,122.0,34700.0
AL,COLBERT,2006,25.0,4100.0
AL,COLBERT,2007,31.0,7100.0
AL,COLBERT,2008,73.0,12100.0
AL,COLBERT,2009,95.0,17830.0
AL,COLBERT,2010,199.0,41030.0
AL,COLBERT,2011,228.0,59560.0
AL,COLBERT,2012,181.0,43030.0
AL,CONECUH,2006,82.0,11800.0
AL,CONECUH,2007,174.0,20200.0
AL,CONECUH,2008,116.0,18800.0
AL,CONECUH,2009,204.0,25200.0
AL,CONECUH,2010,158.0,25000.0
AL,CONECUH,2011,35.0,11500.0
AL,CONECUH,2012,24.0,6400.0
AL,COVINGTON,2006,64.0,17900.0
AL,COVINGTON,2007,46.0,12360.0
AL,COVINGTON,2008,56.0,19050.0
AL,COVINGTON,2009,74.0,21830.0
AL,COVINGTON,2010,49.0,16900.0
AL,COVINGTON,2011,49.0,19600.0
AL,COVINGTON,2012,66.0,15500.0
AL,CRENSHAW,2006,5.0,2500.0
AL,CRENSHAW,2007,9.0,4500.0
AL,CRENSHAW,2008,6.0,3000.0
AL,CRENSHAW,2009,8.0,4000.0
AL,CRENSHAW,2010,8.0,2800.0
AL,CRENSHAW,2011,13.0,3630.0
AL,CRENSHAW,2012,4.0,800.0
AL,CULLMAN,2006,111.0,28780.0
AL,CULLMAN,2007,199.0,50630.0
AL,CULLMAN,2008,136.0,30400.0
AL,CULLMAN,2009,154.0,41200.0
AL,CULLMAN,2010,123.0,36330.0
AL,CULLMAN,2011,178.0,56800.0
AL,CULLMAN,2012,76.0,19300.0
AL,DALE,2006,44.0,8000.0
AL,DALE,2007,43.0,8700.0
AL,DALE,2008,59.0,11500.0
AL,DALE,2009,64.0,18790.0
AL,DALE,2010,78.0,25800.0
AL,DALE,2011,149.0,19890.0
AL,DALE,2012,125.0,22100.0
AL,DALLAS,2006,32.0,10500.0
AL,DALLAS,2007,5.0,1300.0
AL,DALLAS,2008,10.0,3400.0
AL,DALLAS,2009,13.0,3700.0
AL,DALLAS,2010,6.0,1000.0
AL,DALLAS,2011,2.0,600.0
AL,DALLAS,2012,23.0,2300.0
AL,DE KALB,2006,95.0,20890.0
AL,DE KALB,2007,61.0,17160.0
AL,DE KALB,2008,54.0,12860.0
AL,DE KALB,2009,71.0,21500.0
AL,DE KALB,2010,108.0,22990.0
AL,DE KALB,2011,101.0,26630.0
AL,DE KALB,2012,122.0,33030.0
AL,ELMORE,2006,73.0,16030.0
AL,ELMORE,2007,100.0,20400.0
AL,ELMORE,2008,77.0,18500.0
AL,ELMORE,2009,29.0,7300.0
AL,ELMORE,2010,75.0,21100.0
AL,ELMORE,2011,115.0,19100.0
AL,ELMORE,2012,234.0,31800.0
AL,ESCAMBIA,2006,136.0,24510.0
AL,ESCAMBIA,2007,83.0,12620.0
AL,ESCAMBIA,2008,81.0,21000.0
AL,ESCAMBIA,2009,62.0,17360.0
AL,ESCAMBIA,2010,78.0,34200.0
AL,ESCAMBIA,2011,63.0,25500.0
AL,ESCAMBIA,2012,113.0,45300.0
AL,ETOWAH,2006,102.0,23500.0
AL,ETOWAH,2007,174.0,29400.0
AL,ETOWAH,2008,257.0,42500.0
AL,ETOWAH,2009,266.0,55500.0
AL,ETOWAH,2010,226.0,44700.0
AL,ETOWAH,2011,298.0,59700.0
AL,ETOWAH,2012,247.0,53100.0
AL,FAYETTE,2006,16.0,2000.0
AL,FAYETTE,2007,18.0,4800.0
AL,FAYETTE,2008,3.0,700.0
AL,FAYETTE,2009,2.0,1000.0
AL,FAYETTE,2010,4.0,2000.0
AL,FAYETTE,2011,18.0,4600.0
AL,FAYETTE,2012,37.0,9000.0
AL,FRANKLIN,2006,36.0,5200.0
AL,FRANKLIN,2007,93.0,16100.0
AL,FRANKLIN,2008,112.0,16000.0
AL,FRANKLIN,2009,168.0,24400.0
AL,FRANKLIN,2010,165.0,22500.0
AL,FRANKLIN,2011,164.0,22000.0
AL,FRANKLIN,2012,110.0,17400.0
AL,GENEVA,2006,7.0,700.0
AL,GENEVA,2007,12.0,1600.0
AL,GENEVA,2008,6.0,1400.0
AL,GENEVA,2009,8.0,2800.0
AL,GENEVA,2010,4.0,1700.0
AL,GENEVA,2011,4.0,2100.0
AL,GENEVA,2012,1.0,100.0
AL,GREENE,2006,1.0,100.0
AL,GREENE,2007,4.0,400.0
AL,GREENE,2008,4.0,1300.0
AL,GREENE,2009,3.0,700.0
AL,GREENE,2010,4.0,1700.0
AL,GREENE,2011,4.0,2000.0
AL,GREENE,2012,14.0,5900.0
AL,HALE,2006,2.0,1000.0
AL,HALE,2007,3.0,1100.0
AL,HALE,2008,3.0,700.0
